ID,Marks(Out of 300)
2018A3PS0324P,289
2018A3PS0363P,285
2018A8PS0030P,284
2018A3PS0515P,273
2018A3PS0373P,267
2018A3PS0341P,262
2018A3PS0296P,261
2018A3PS0332P,256
2018A3PS0294P,255
2018A3PS0370P,253
2018A3PS0308P,253
2017B4A30853P,252
2017A4PS0387P,251
2018A3PS0311P,251
2018A3PS0357P,251
2018A8PS0457P,251
2018A3PS0320P,246
2018A3PS0808P,245
2018A3PS0337P,244
2018A3PS0388P,242
2018A8PS0428P,242
2018A3PS0298P,240
2018A3PS0299P,240
2018A3PS0354P,239
2018A8B40427P,239
2018A8PS0318P,239
2018A8PS0745P,238
2018A3PS0322P,237
2018A3PS0378P,237
2018A8PS0772P,237
2018A8PS1034P,235
2018A8PS0480P,234
2017B3A30661P,233
2018A3PS0412P,233
2017B2A30672P,230
2018A3PS0553P,229
2017B2A31016P,228
2017B3A30587P,228
2018A8PS0297P,227
2017B4A30864P,226
2018A3PS0323P,226
2017A4PS0415P,225
2018A3PS0313P,224
2018A3PS0333P,224
2018A3PS0300P,223
2018A3PS0420P,223
2018A8PS0860P,223
2017A3PS0263P,222
2017B3A80544P,222
2017B4A30875P,222
2017B5A80906P,222
2018A3PS0437P,222
2017B5A30714P,221
2018A8PS0409P,221
2017B3A30604P,220
2018A8PS0453P,220
2017B4A80852P,219
2018A3PS0346P,219
2017B3A30472P,218
2017B2A80574P,218
2017B5A30983P,218
2018A8PS0769P,218
2018A3PS0328P,217
2018A3PS0348P,216
2018A8PS0516P,216
2017B3A30738P,215
2017B5A80896P,215
2018A3PS0401P,215
2018A8PS0764P,215
2017B3A30671P,215
2018A3PS0352P,215
2018A8PS0029P,215
2017B4A30803P,214
2018A8PS0404P,214
2018A8PS0342P,213
2018A8PS0459P,213
2017B2A30576P,212
2018A8PS0813P,211
2017B4A30812P,210
2018A3PS1105P,210
2017B1A31006P,209
2018A3PS0441P,209
2018A3PS0315P,208
2018A8PS0410P,208
2017B4A80789P,208
2018A3PS0095P,208
2018A8PS1124P,208
2018A3PS0408P,207
2017B4A80773P,206
2018A8PS0547P,204
2017B5A30624P,203
2017B5A30909P,203
